Title,Year,Runtime,Director,IMDB_Rating,IMDB_Votes,IMDB_Gross,Tomato_Meter,Tom_Aud_Score
Superman and the Mole-Men,1951,58,Lee Sholem,5.7,1828,0,0,83
Batman: The Movie,1966,105,Leslie H. Martinson,6.5,30289,0,79,62
Superman,1978,143,Richard Donner,7.3,162395,134220000,94,86
Superman II,1980,127,Richard Lester,6.8,100030,108190000,86,76
Swamp Thing,1982,91,Wes Craven,5.4,13328,0,63,40
Superman III,1983,125,Richard Lester,5.0,65340,59950000,30,23
Supergirl,1984,124,Jeannot Szwarc,4.4,19361,13600000,9,26
Superman IV: The Quest for Peace,1987,90,Sidney J. Furie,3.7,44082,15680000,11,16
The Return of Swamp Thing,1989,88,Jim Wynorski,4.6,4454,190000,44,55
Batman,1989,126,Tim Burton,7.5,344868,251190000,71,84
Batman Returns,1992,126,Tim Burton,7.0,279545,162830000,80,73
Batman Forever,1995,121,Joel Schumacher,5.4,238230,184030000,38,32
Batman & Robin,1997,125,Joel Schumacher,3.8,237759,107330000,12,16
Steel,1997,97,Kenneth Johnson,2.9,11519,1710000,12,15
Catwoman,2004,104,Pitof,3.4,112972,40200000,9,18
Constantine,2005,121,Francis Lawrence,7.0,315617,75980000,46,72
Batman Begins,2005,140,Christopher Nolan,8.2,1338140,206850000,84,94
Superman Returns,2006,154,Bryan Singer,6.0,273696,200080000,75,61
The Dark Knight,2008,152,Christopher Nolan,9.0,2369304,534860000,94,94
Watchmen,2009,162,Zack Snyder,7.6,518415,107510000,65,71
Jonah Hex,2010,81,Jimmy Hayward,4.7,56225,10540000,12,20
Green Lantern,2011,114,Martin Campbell,5.5,270939,116600000,26,45
The Dark Knight Rises,2012,164,Christopher Nolan,8.4,1552223,448140000,87,90
Man of Steel,2013,143,Zack Snyder,7.0,718956,291050000,56,75
Batman v Superman: Dawn of Justice,2016,152,Zack Snyder,6.4,653270,330360000,28,63
Suicide Squad,2016,123,David Ayer,5.9,622206,325100000,26,59
Wonder Woman,2017,141,Patty Jenkins,7.4,596901,412560000,93,83
Justice League,2017,120,Zack Snyder,6.1,416837,229020000,40,69
Aquaman,2018,143,James Wan,6.9,400424,335060000,65,74
Shazam!,2019,132,David F. Sandberg,7.0,279604,140370000,90,82
Joker,2019,122,Todd Phillips,8.4,1014748,335450000,68,88
Birds of Prey,2020,109,Cathy Yan,6.1,186805,84160000,79,78
Wonder Woman 1984,2020,151,Patty Jenkins,5.4,212554,46370000,59,73
